"type","number","percent","time"
"GO.KE","368","0.63","1466694006.5926"
"SC.KE","596","1.01","1466694006.5926"
"CO.KE","54559","92.79","1466694006.5926"
"INFO.KE","131","0.22","1466694006.5926"
"ME.KE","336","0.57","1466694006.5926"
"MOBI.KE","45","0.08","1466694006.5926"
"NE.KE","181","0.31","1466694006.5926"
"OR.KE","1779","3.03","1466694006.5926"
"AC.KE","803","1.37","1466701206.83683"
"GO.KE","368","0.63","1466701206.83683"
"SC.KE","596","1.01","1466701206.83683"
"CO.KE","54569","92.79","1466701206.83683"
"INFO.KE","131","0.22","1466701206.83683"
"ME.KE","336","0.57","1466701206.83683"
"MOBI.KE","45","0.08","1466701206.83683"
"NE.KE","181","0.31","1466701206.83683"
"OR.KE","1779","3.03","1466701206.83683"
"AC.KE","803","1.37","1466708405.98031"
"GO.KE","368","0.63","1466708405.98031"
"SC.KE","596","1.01","1466708405.98031"
"CO.KE","54578","92.79","1466708405.98031"
"INFO.KE","131","0.22","1466708405.98031"
"ME.KE","336","0.57","1466708405.98031"
"MOBI.KE","45","0.08","1466708405.98031"
"NE.KE","181","0.31","1466708405.98031"
"OR.KE","1779","3.02","1466708405.98031"
"AC.KE","803","1.37","1466715607.07255"
"GO.KE","368","0.63","1466715607.07255"
"SC.KE","596","1.01","1466715607.07255"
"CO.KE","54579","92.79","1466715607.07255"
"INFO.KE","131","0.22","1466715607.07255"
"ME.KE","336","0.57","1466715607.07255"
"MOBI.KE","45","0.08","1466715607.07255"
"NE.KE","181","0.31","1466715607.07255"
"OR.KE","1779","3.02","1466715607.07255"
"AC.KE","803","1.37","1466722806.11605"
"GO.KE","368","0.63","1466722806.11605"
"SC.KE","596","1.01","1466722806.11605"
"CO.KE","54581","92.79","1466722806.11605"
"INFO.KE","131","0.22","1466722806.11605"
"ME.KE","336","0.57","1466722806.11605"
"MOBI.KE","45","0.08","1466722806.11605"
"NE.KE","181","0.31","1466722806.11605"
"OR.KE","1779","3.02","1466722806.11605"
"AC.KE","803","1.37","1466730006.33881"
"GO.KE","368","0.63","1466730006.33881"
"SC.KE","596","1.01","1466730006.33881"
"CO.KE","54581","92.79","1466730006.33881"
"INFO.KE","131","0.22","1466730006.33881"
"ME.KE","336","0.57","1466730006.33881"
"MOBI.KE","45","0.08","1466730006.33881"
"NE.KE","181","0.31","1466730006.33881"
"OR.KE","1779","3.02","1466730006.33881"
"AC.KE","803","1.37","1466737205.81167"
"GO.KE","368","0.63","1466737205.81167"
"SC.KE","596","1.01","1466737205.81167"
"CO.KE","54560","92.79","1466737205.81167"
"INFO.KE","131","0.22","1466737205.81167"
"ME.KE","336","0.57","1466737205.81167"
"MOBI.KE","45","0.08","1466737205.81167"
"NE.KE","181","0.31","1466737205.81167"
"OR.KE","1777","3.02","1466737205.81167"
"AC.KE","803","1.37","1466744406.4901"
"GO.KE","368","0.63","1466744406.4901"
"SC.KE","596","1.01","1466744406.4901"
"CO.KE","54564","92.79","1466744406.4901"
"INFO.KE","131","0.22","1466744406.4901"
"ME.KE","336","0.57","1466744406.4901"
"MOBI.KE","45","0.08","1466744406.4901"
"NE.KE","181","0.31","1466744406.4901"
"OR.KE","1777","3.02","1466744406.4901"
"AC.KE","803","1.37","1466751606.14815"
"GO.KE","368","0.63","1466751606.14815"
"SC.KE","596","1.01","1466751606.14815"
"CO.KE","54579","92.80","1466751606.14815"
"INFO.KE","131","0.22","1466751606.14815"
"ME.KE","336","0.57","1466751606.14815"
"MOBI.KE","45","0.08","1466751606.14815"
"NE.KE","181","0.31","1466751606.14815"
"OR.KE","1777","3.02","1466751606.14815"
"AC.KE","803","1.36","1466758806.38085"
"GO.KE","368","0.63","1466758806.38085"
"SC.KE","596","1.01","1466758806.38085"
"CO.KE","54595","92.80","1466758806.38085"
"INFO.KE","131","0.22","1466758806.38085"
"ME.KE","337","0.57","1466758806.38085"
"MOBI.KE","45","0.08","1466758806.38085"
"NE.KE","181","0.31","1466758806.38085"
"OR.KE","1777","3.02","1466758806.38085"
"AC.KE","804","1.37","1466766006.36265"
"GO.KE","368","0.63","1466766006.36265"
"SC.KE","596","1.01","1466766006.36265"
"CO.KE","54604","92.80","1466766006.36265"
"INFO.KE","130","0.22","1466766006.36265"
"ME.KE","337","0.57","1466766006.36265"
"MOBI.KE","45","0.08","1466766006.36265"
"NE.KE","181","0.31","1466766006.36265"
"OR.KE","1777","3.02","1466766006.36265"
"AC.KE","804","1.37","1466773206.1917"
"GO.KE","369","0.63","1466773206.1917"
"SC.KE","596","1.01","1466773206.1917"
"CO.KE","54626","92.80","1466773206.1917"
"INFO.KE","130","0.22","1466773206.1917"
"ME.KE","337","0.57","1466773206.1917"
"MOBI.KE","45","0.08","1466773206.1917"
"NE.KE","181","0.31","1466773206.1917"
"OR.KE","1777","3.02","1466773206.1917"
"AC.KE","804","1.37","1466780405.98243"
"GO.KE","369","0.63","1466780405.98243"
"SC.KE","596","1.01","1466780405.98243"
"CO.KE","54642","92.80","1466780405.98243"
"INFO.KE","130","0.22","1466780405.98243"
"ME.KE","337","0.57","1466780405.98243"
"MOBI.KE","45","0.08","1466780405.98243"
"NE.KE","181","0.31","1466780405.98243"
"OR.KE","1777","3.02","1466780405.98243"
"AC.KE","804","1.37","1466787606.26778"
"GO.KE","369","0.63","1466787606.26778"
"SC.KE","596","1.01","1466787606.26778"
"CO.KE","54652","92.80","1466787606.26778"
"INFO.KE","130","0.22","1466787606.26778"
"ME.KE","337","0.57","1466787606.26778"
"MOBI.KE","45","0.08","1466787606.26778"
"NE.KE","181","0.31","1466787606.26778"
"OR.KE","1777","3.02","1466787606.26778"
"AC.KE","804","1.37","1466794806.58411"
"GO.KE","369","0.63","1466794806.58411"
"SC.KE","596","1.01","1466794806.58411"
"CO.KE","54653","92.80","1466794806.58411"
"INFO.KE","130","0.22","1466794806.58411"
"ME.KE","337","0.57","1466794806.58411"
"MOBI.KE","45","0.08","1466794806.58411"
"NE.KE","181","0.31","1466794806.58411"
"OR.KE","1778","3.02","1466794806.58411"
"AC.KE","804","1.37","1466802006.09643"
"GO.KE","369","0.63","1466802006.09643"
"SC.KE","596","1.01","1466802006.09643"
"CO.KE","54656","92.80","1466802006.09643"
"INFO.KE","130","0.22","1466802006.09643"
"ME.KE","337","0.57","1466802006.09643"
"MOBI.KE","45","0.08","1466802006.09643"
"NE.KE","181","0.31","1466802006.09643"
"OR.KE","1778","3.02","1466802006.09643"
"AC.KE","804","1.37","1466809206.40701"
"GO.KE","369","0.63","1466809206.40701"
"SC.KE","596","1.01","1466809206.40701"
"CO.KE","54658","92.80","1466809206.40701"
"INFO.KE","130","0.22","1466809206.40701"
"ME.KE","337","0.57","1466809206.40701"
"MOBI.KE","45","0.08","1466809206.40701"
"NE.KE","181","0.31","1466809206.40701"
"OR.KE","1778","3.02","1466809206.40701"
"AC.KE","804","1.37","1466816406.33003"
"GO.KE","369","0.63","1466816406.33003"
"SC.KE","596","1.01","1466816406.33003"
"CO.KE","54661","92.80","1466816406.33003"
"INFO.KE","130","0.22","1466816406.33003"
"ME.KE","337","0.57","1466816406.33003"
"MOBI.KE","45","0.08","1466816406.33003"
"NE.KE","181","0.31","1466816406.33003"
"OR.KE","1778","3.02","1466816406.33003"
"AC.KE","804","1.37","1466823606.26967"
"GO.KE","369","0.63","1466823606.26967"
"SC.KE","596","1.01","1466823606.26967"
"CO.KE","54609","92.80","1466823606.26967"
"INFO.KE","130","0.22","1466823606.26967"
"ME.KE","337","0.57","1466823606.26967"
"MOBI.KE","45","0.08","1466823606.26967"
"NE.KE","181","0.31","1466823606.26967"
"OR.KE","1778","3.02","1466823606.26967"
"AC.KE","804","1.37","1466830806.06566"
"GO.KE","369","0.63","1466830806.06566"
"SC.KE","596","1.01","1466830806.06566"
"CO.KE","54610","92.80","1466830806.06566"
"INFO.KE","130","0.22","1466830806.06566"
"ME.KE","337","0.57","1466830806.06566"
"MOBI.KE","45","0.08","1466830806.06566"
"NE.KE","181","0.31","1466830806.06566"
"OR.KE","1778","3.02","1466830806.06566"
"AC.KE","804","1.37","1466838005.91846"
"GO.KE","369","0.63","1466838005.91846"
"SC.KE","596","1.01","1466838005.91846"
"CO.KE","54613","92.79","1466838005.91846"
"INFO.KE","130","0.22","1466838005.91846"
"ME.KE","337","0.57","1466838005.91846"
"MOBI.KE","45","0.08","1466838005.91846"
"NE.KE","181","0.31","1466838005.91846"
"OR.KE","1779","3.02","1466838005.91846"
"AC.KE","804","1.37","1466845205.85842"
"GO.KE","369","0.63","1466845205.85842"
"SC.KE","596","1.01","1466845205.85842"
"CO.KE","54620","92.79","1466845205.85842"
"INFO.KE","130","0.22","1466845205.85842"
"ME.KE","337","0.57","1466845205.85842"
"MOBI.KE","45","0.08","1466845205.85842"
"NE.KE","181","0.31","1466845205.85842"
"OR.KE","1779","3.02","1466845205.85842"
"AC.KE","804","1.37","1466852406.60079"
"GO.KE","369","0.63","1466852406.60079"
"SC.KE","596","1.01","1466852406.60079"
"CO.KE","54630","92.80","1466852406.60079"
"INFO.KE","130","0.22","1466852406.60079"
"ME.KE","337","0.57","1466852406.60079"
"MOBI.KE","45","0.08","1466852406.60079"
"NE.KE","181","0.31","1466852406.60079"
"OR.KE","1779","3.02","1466852406.60079"
"AC.KE","804","1.37","1466859605.59991"
"GO.KE","369","0.63","1466859605.59991"
"SC.KE","596","1.01","1466859605.59991"
"CO.KE","54641","92.80","1466859605.59991"
"INFO.KE","130","0.22","1466859605.59991"
"ME.KE","337","0.57","1466859605.59991"
"MOBI.KE","45","0.08","1466859605.59991"
"NE.KE","181","0.31","1466859605.59991"
"OR.KE","1780","3.02","1466859605.59991"
"AC.KE","804","1.37","1466866806.42341"
"GO.KE","369","0.63","1466866806.42341"
"SC.KE","596","1.01","1466866806.42341"
"CO.KE","54652","92.80","1466866806.42341"
"INFO.KE","130","0.22","1466866806.42341"
"ME.KE","338","0.57","1466866806.42341"
"MOBI.KE","45","0.08","1466866806.42341"
"NE.KE","181","0.31","1466866806.42341"
"OR.KE","1780","3.02","1466866806.42341"
"AC.KE","804","1.37","1466874007.15973"
"GO.KE","369","0.63","1466874007.15973"
"SC.KE","596","1.01","1466874007.15973"
"CO.KE","54652","92.80","1466874007.15973"
"INFO.KE","130","0.22","1466874007.15973"
"ME.KE","338","0.57","1466874007.15973"
"MOBI.KE","45","0.08","1466874007.15973"
"NE.KE","181","0.31","1466874007.15973"
"OR.KE","1780","3.02","1466874007.15973"
"AC.KE","804","1.37","1466881205.85908"
"GO.KE","369","0.63","1466881205.85908"
"SC.KE","596","1.01","1466881205.85908"
"CO.KE","54657","92.80","1466881205.85908"
"INFO.KE","130","0.22","1466881205.85908"
"ME.KE","338","0.57","1466881205.85908"
"MOBI.KE","45","0.08","1466881205.85908"
"NE.KE","181","0.31","1466881205.85908"
"OR.KE","1780","3.02","1466881205.85908"
"AC.KE","804","1.37","1466888406.91249"
"GO.KE","369","0.63","1466888406.91249"
"SC.KE","596","1.01","1466888406.91249"
"CO.KE","54658","92.80","1466888406.91249"
"INFO.KE","130","0.22","1466888406.91249"
"ME.KE","338","0.57","1466888406.91249"
"MOBI.KE","45","0.08","1466888406.91249"
"NE.KE","181","0.31","1466888406.91249"
"OR.KE","1780","3.02","1466888406.91249"
"AC.KE","804","1.36","1466895606.51834"
"GO.KE","369","0.63","1466895606.51834"
"SC.KE","596","1.01","1466895606.51834"
"CO.KE","54659","92.80","1466895606.51834"
"INFO.KE","130","0.22","1466895606.51834"
"ME.KE","338","0.57","1466895606.51834"
"MOBI.KE","45","0.08","1466895606.51834"
"NE.KE","181","0.31","1466895606.51834"
"OR.KE","1780","3.02","1466895606.51834"
"AC.KE","804","1.36","1466902807.14191"
"GO.KE","369","0.63","1466902807.14191"
"SC.KE","596","1.01","1466902807.14191"
"CO.KE","54662","92.80","1466902807.14191"
"INFO.KE","130","0.22","1466902807.14191"
"ME.KE","338","0.57","1466902807.14191"
"MOBI.KE","45","0.08","1466902807.14191"
"NE.KE","181","0.31","1466902807.14191"
"OR.KE","1780","3.02","1466902807.14191"
"AC.KE","804","1.37","1466910006.22006"
"GO.KE","369","0.63","1466910006.22006"
"SC.KE","596","1.01","1466910006.22006"
"CO.KE","54599","92.80","1466910006.22006"
"INFO.KE","130","0.22","1466910006.22006"
"ME.KE","338","0.57","1466910006.22006"
"MOBI.KE","45","0.08","1466910006.22006"
"NE.KE","181","0.31","1466910006.22006"
"OR.KE","1776","3.02","1466910006.22006"
"AC.KE","804","1.37","1466917206.31584"
"GO.KE","369","0.63","1466917206.31584"
"SC.KE","596","1.01","1466917206.31584"
"CO.KE","54599","92.80","1466917206.31584"
"INFO.KE","130","0.22","1466917206.31584"
"ME.KE","338","0.57","1466917206.31584"
"MOBI.KE","45","0.08","1466917206.31584"
"NE.KE","181","0.31","1466917206.31584"
"OR.KE","1776","3.02","1466917206.31584"
"AC.KE","804","1.37","1466924406.8353"
"GO.KE","369","0.63","1466924406.8353"
"SC.KE","596","1.01","1466924406.8353"
"CO.KE","54601","92.80","1466924406.8353"
"INFO.KE","130","0.22","1466924406.8353"
"ME.KE","338","0.57","1466924406.8353"
"MOBI.KE","45","0.08","1466924406.8353"
"NE.KE","181","0.31","1466924406.8353"
"OR.KE","1776","3.02","1466924406.8353"
"AC.KE","804","1.37","1466931606.02192"
"GO.KE","369","0.63","1466931606.02192"
"SC.KE","596","1.01","1466931606.02192"
"CO.KE","54602","92.80","1466931606.02192"
"INFO.KE","130","0.22","1466931606.02192"
"ME.KE","338","0.57","1466931606.02192"
"MOBI.KE","45","0.08","1466931606.02192"
"NE.KE","181","0.31","1466931606.02192"
"OR.KE","1776","3.02","1466931606.02192"
"AC.KE","804","1.37","1466938806.3024"
"GO.KE","369","0.63","1466938806.3024"
"SC.KE","596","1.01","1466938806.3024"
"CO.KE","54602","92.80","1466938806.3024"
"INFO.KE","130","0.22","1466938806.3024"
"ME.KE","338","0.57","1466938806.3024"
"MOBI.KE","45","0.08","1466938806.3024"
"NE.KE","181","0.31","1466938806.3024"
"OR.KE","1776","3.02","1466938806.3024"
"AC.KE","804","1.37","1466946006.29277"
"GO.KE","369","0.63","1466946006.29277"
"SC.KE","596","1.01","1466946006.29277"
"CO.KE","54604","92.79","1466946006.29277"
"INFO.KE","130","0.22","1466946006.29277"
"ME.KE","338","0.57","1466946006.29277"
"MOBI.KE","46","0.08","1466946006.29277"
"NE.KE","181","0.31","1466946006.29277"
"OR.KE","1776","3.02","1466946006.29277"
"AC.KE","804","1.37","1466953206.40468"
"GO.KE","369","0.63","1466953206.40468"
"SC.KE","596","1.01","1466953206.40468"
"CO.KE","54607","92.79","1466953206.40468"
"INFO.KE","130","0.22","1466953206.40468"
"ME.KE","338","0.57","1466953206.40468"
"MOBI.KE","46","0.08","1466953206.40468"
"NE.KE","181","0.31","1466953206.40468"
"OR.KE","1776","3.02","1466953206.40468"
"AC.KE","804","1.37","1466960406.77432"
"GO.KE","369","0.63","1466960406.77432"
"SC.KE","596","1.01","1466960406.77432"
"CO.KE","54608","92.79","1466960406.77432"
"INFO.KE","130","0.22","1466960406.77432"
"ME.KE","338","0.57","1466960406.77432"
"MOBI.KE","46","0.08","1466960406.77432"
"NE.KE","181","0.31","1466960406.77432"
"OR.KE","1776","3.02","1466960406.77432"
"AC.KE","804","1.37","1466967607.22166"
"GO.KE","369","0.63","1466967607.22166"
"SC.KE","596","1.01","1466967607.22166"
"CO.KE","54612","92.80","1466967607.22166"
"INFO.KE","130","0.22","1466967607.22166"
"ME.KE","338","0.57","1466967607.22166"
"MOBI.KE","46","0.08","1466967607.22166"
"NE.KE","181","0.31","1466967607.22166"
"OR.KE","1776","3.02","1466967607.22166"
"AC.KE","804","1.37","1466974806.30211"
"GO.KE","369","0.63","1466974806.30211"
"SC.KE","596","1.01","1466974806.30211"
"CO.KE","54615","92.80","1466974806.30211"
"INFO.KE","130","0.22","1466974806.30211"
"ME.KE","338","0.57","1466974806.30211"
"MOBI.KE","46","0.08","1466974806.30211"
"NE.KE","181","0.31","1466974806.30211"
"OR.KE","1776","3.02","1466974806.30211"
"AC.KE","804","1.37","1466982006.84483"
"GO.KE","369","0.63","1466982006.84483"
"SC.KE","596","1.01","1466982006.84483"
"CO.KE","54615","92.80","1466982006.84483"
"INFO.KE","130","0.22","1466982006.84483"
"ME.KE","338","0.57","1466982006.84483"
"MOBI.KE","46","0.08","1466982006.84483"
"NE.KE","181","0.31","1466982006.84483"
"OR.KE","1776","3.02","1466982006.84483"
"AC.KE","804","1.37","1466989206.74757"
"GO.KE","369","0.63","1466989206.74757"
"SC.KE","596","1.01","1466989206.74757"
"CO.KE","54615","92.80","1466989206.74757"
"INFO.KE","130","0.22","1466989206.74757"
"ME.KE","338","0.57","1466989206.74757"
"MOBI.KE","46","0.08","1466989206.74757"
"NE.KE","181","0.31","1466989206.74757"
"OR.KE","1776","3.02","1466989206.74757"
"AC.KE","803","1.37","1466996407.10132"
"GO.KE","369","0.63","1466996407.10132"
"SC.KE","596","1.01","1466996407.10132"
"CO.KE","54570","92.80","1466996407.10132"
"INFO.KE","130","0.22","1466996407.10132"
"ME.KE","338","0.57","1466996407.10132"
"MOBI.KE","45","0.08","1466996407.10132"
"NE.KE","181","0.31","1466996407.10132"
"OR.KE","1775","3.02","1466996407.10132"
"AC.KE","803","1.37","1467003606.48268"
"GO.KE","369","0.63","1467003606.48268"
"SC.KE","596","1.01","1467003606.48268"
"CO.KE","54571","92.80","1467003606.48268"
"INFO.KE","130","0.22","1467003606.48268"
"ME.KE","338","0.57","1467003606.48268"
"MOBI.KE","45","0.08","1467003606.48268"
"NE.KE","181","0.31","1467003606.48268"
"OR.KE","1775","3.02","1467003606.48268"
"AC.KE","800","1.35","1467871315.80009"
"GO.KE","370","0.62","1467871315.80009"
"SC.KE","618","1.04","1467871315.80009"
"CO.KE","54941","92.77","1467871315.80009"
"INFO.KE","130","0.22","1467871315.80009"
"ME.KE","340","0.57","1467871315.80009"
"MOBI.KE","45","0.08","1467871315.80009"
"NE.KE","186","0.31","1467871315.80009"
"OR.KE","1792","3.03","1467871315.80009"
"AC.KE","800","1.35","1467874806.69811"
"GO.KE","370","0.62","1467874806.69811"
"SC.KE","618","1.04","1467874806.69811"
"CO.KE","54942","92.77","1467874806.69811"
"INFO.KE","130","0.22","1467874806.69811"
"ME.KE","340","0.57","1467874806.69811"
"MOBI.KE","45","0.08","1467874806.69811"
"NE.KE","186","0.31","1467874806.69811"
"OR.KE","1792","3.03","1467874806.69811"
"AC.KE","800","1.35","1467882006.38522"
"GO.KE","370","0.62","1467882006.38522"
"SC.KE","618","1.04","1467882006.38522"
"CO.KE","54951","92.77","1467882006.38522"
"INFO.KE","131","0.22","1467882006.38522"
"ME.KE","340","0.57","1467882006.38522"
"MOBI.KE","45","0.08","1467882006.38522"
"NE.KE","186","0.31","1467882006.38522"
"OR.KE","1792","3.03","1467882006.38522"
"AC.KE","800","1.35","1467889206.04404"
"GO.KE","370","0.62","1467889206.04404"
"SC.KE","618","1.04","1467889206.04404"
"CO.KE","54953","92.77","1467889206.04404"
"INFO.KE","131","0.22","1467889206.04404"
"ME.KE","340","0.57","1467889206.04404"
"MOBI.KE","45","0.08","1467889206.04404"
"NE.KE","186","0.31","1467889206.04404"
"OR.KE","1792","3.03","1467889206.04404"
"AC.KE","800","1.35","1467896406.78369"
"GO.KE","370","0.62","1467896406.78369"
"SC.KE","618","1.04","1467896406.78369"
"CO.KE","54962","92.77","1467896406.78369"
"INFO.KE","131","0.22","1467896406.78369"
"ME.KE","340","0.57","1467896406.78369"
"MOBI.KE","45","0.08","1467896406.78369"
"NE.KE","186","0.31","1467896406.78369"
"OR.KE","1792","3.02","1467896406.78369"
"AC.KE","800","1.35","1467903606.97831"
"GO.KE","370","0.62","1467903606.97831"
"SC.KE","618","1.04","1467903606.97831"
"CO.KE","54969","92.77","1467903606.97831"
"INFO.KE","131","0.22","1467903606.97831"
"ME.KE","340","0.57","1467903606.97831"
"MOBI.KE","45","0.08","1467903606.97831"
"NE.KE","186","0.31","1467903606.97831"
"OR.KE","1792","3.02","1467903606.97831"
"AC.KE","800","1.35","1467910806.91714"
"GO.KE","370","0.62","1467910806.91714"
"SC.KE","618","1.04","1467910806.91714"
"CO.KE","54973","92.77","1467910806.91714"
"INFO.KE","131","0.22","1467910806.91714"
"ME.KE","340","0.57","1467910806.91714"
"MOBI.KE","45","0.08","1467910806.91714"
"NE.KE","186","0.31","1467910806.91714"
"OR.KE","1793","3.03","1467910806.91714"
"AC.KE","800","1.35","1467918007.05497"
"GO.KE","370","0.62","1467918007.05497"
"SC.KE","618","1.04","1467918007.05497"
"CO.KE","54976","92.77","1467918007.05497"
"INFO.KE","131","0.22","1467918007.05497"
"ME.KE","340","0.57","1467918007.05497"
"MOBI.KE","45","0.08","1467918007.05497"
"NE.KE","186","0.31","1467918007.05497"
"OR.KE","1795","3.03","1467918007.05497"
"AC.KE","800","1.35","1467925206.33105"
"GO.KE","370","0.62","1467925206.33105"
"SC.KE","618","1.04","1467925206.33105"
"CO.KE","54979","92.77","1467925206.33105"
"INFO.KE","131","0.22","1467925206.33105"
"ME.KE","340","0.57","1467925206.33105"
"MOBI.KE","45","0.08","1467925206.33105"
"NE.KE","186","0.31","1467925206.33105"
"OR.KE","1795","3.03","1467925206.33105"
"AC.KE","800","1.35","1467932407.28203"
"GO.KE","370","0.62","1467932407.28203"
"SC.KE","618","1.04","1467932407.28203"
"CO.KE","54980","92.77","1467932407.28203"
"INFO.KE","131","0.22","1467932407.28203"
"ME.KE","340","0.57","1467932407.28203"
"MOBI.KE","45","0.08","1467932407.28203"
"NE.KE","186","0.31","1467932407.28203"
"OR.KE","1795","3.03","1467932407.28203"
"AC.KE","800","1.35","1467939606.55693"
"GO.KE","370","0.62","1467939606.55693"
"SC.KE","618","1.04","1467939606.55693"
"CO.KE","54980","92.77","1467939606.55693"
"INFO.KE","131","0.22","1467939606.55693"
"ME.KE","340","0.57","1467939606.55693"
"MOBI.KE","45","0.08","1467939606.55693"
"NE.KE","186","0.31","1467939606.55693"
"OR.KE","1795","3.03","1467939606.55693"
"AC.KE","800","1.35","1467946807.45394"
"GO.KE","370","0.62","1467946807.45394"
"SC.KE","618","1.04","1467946807.45394"
"CO.KE","54968","92.77","1467946807.45394"
"INFO.KE","131","0.22","1467946807.45394"
"ME.KE","340","0.57","1467946807.45394"
"MOBI.KE","45","0.08","1467946807.45394"
"NE.KE","186","0.31","1467946807.45394"
"OR.KE","1794","3.03","1467946807.45394"
"AC.KE","800","1.35","1467954007.11101"
"GO.KE","370","0.62","1467954007.11101"
"SC.KE","618","1.04","1467954007.11101"
"CO.KE","54970","92.77","1467954007.11101"
"INFO.KE","131","0.22","1467954007.11101"
"ME.KE","340","0.57","1467954007.11101"
"MOBI.KE","45","0.08","1467954007.11101"
"NE.KE","186","0.31","1467954007.11101"
"OR.KE","1796","3.03","1467954007.11101"
"AC.KE","801","1.35","1467961206.33808"
"GO.KE","370","0.62","1467961206.33808"
"SC.KE","619","1.04","1467961206.33808"
"CO.KE","54979","92.76","1467961206.33808"
"INFO.KE","131","0.22","1467961206.33808"
"ME.KE","340","0.57","1467961206.33808"
"MOBI.KE","45","0.08","1467961206.33808"
"NE.KE","186","0.31","1467961206.33808"
"OR.KE","1796","3.03","1467961206.33808"
"AC.KE","801","1.35","1467968406.65153"
"GO.KE","370","0.62","1467968406.65153"
"SC.KE","620","1.05","1467968406.65153"
"CO.KE","54988","92.76","1467968406.65153"
"INFO.KE","131","0.22","1467968406.65153"
"ME.KE","340","0.57","1467968406.65153"
"MOBI.KE","45","0.08","1467968406.65153"
"NE.KE","186","0.31","1467968406.65153"
"OR.KE","1796","3.03","1467968406.65153"
"AC.KE","801","1.35","1467975606.52433"
"GO.KE","370","0.62","1467975606.52433"
"SC.KE","620","1.05","1467975606.52433"
"CO.KE","55005","92.77","1467975606.52433"
"INFO.KE","131","0.22","1467975606.52433"
"ME.KE","340","0.57","1467975606.52433"
"MOBI.KE","45","0.08","1467975606.52433"
"NE.KE","186","0.31","1467975606.52433"
"OR.KE","1796","3.03","1467975606.52433"
"AC.KE","801","1.35","1467982806.43388"
"GO.KE","371","0.63","1467982806.43388"
"SC.KE","621","1.05","1467982806.43388"
"CO.KE","55022","92.76","1467982806.43388"
"INFO.KE","131","0.22","1467982806.43388"
"ME.KE","340","0.57","1467982806.43388"
"MOBI.KE","45","0.08","1467982806.43388"
"NE.KE","186","0.31","1467982806.43388"
"OR.KE","1798","3.03","1467982806.43388"
"AC.KE","801","1.35","1467990006.38435"
"GO.KE","371","0.63","1467990006.38435"
"SC.KE","621","1.05","1467990006.38435"
"CO.KE","55037","92.76","1467990006.38435"
"INFO.KE","131","0.22","1467990006.38435"
"ME.KE","340","0.57","1467990006.38435"
"MOBI.KE","45","0.08","1467990006.38435"
"NE.KE","186","0.31","1467990006.38435"
"OR.KE","1798","3.03","1467990006.38435"
"AC.KE","801","1.35","1467997206.80013"
"GO.KE","371","0.63","1467997206.80013"
"SC.KE","621","1.05","1467997206.80013"
"CO.KE","55041","92.76","1467997206.80013"
"INFO.KE","131","0.22","1467997206.80013"
"ME.KE","340","0.57","1467997206.80013"
"MOBI.KE","45","0.08","1467997206.80013"
"NE.KE","186","0.31","1467997206.80013"
"OR.KE","1798","3.03","1467997206.80013"
"AC.KE","801","1.35","1468004406.97261"
"GO.KE","371","0.63","1468004406.97261"
"SC.KE","621","1.05","1468004406.97261"
"CO.KE","55045","92.77","1468004406.97261"
"INFO.KE","131","0.22","1468004406.97261"
"ME.KE","340","0.57","1468004406.97261"
"MOBI.KE","45","0.08","1468004406.97261"
"NE.KE","186","0.31","1468004406.97261"
"OR.KE","1798","3.03","1468004406.97261"
"AC.KE","801","1.35","1468011606.44782"
"GO.KE","371","0.63","1468011606.44782"
"SC.KE","621","1.05","1468011606.44782"
"CO.KE","55045","92.77","1468011606.44782"
"INFO.KE","131","0.22","1468011606.44782"
"ME.KE","340","0.57","1468011606.44782"
"MOBI.KE","45","0.08","1468011606.44782"
"NE.KE","186","0.31","1468011606.44782"
"OR.KE","1798","3.03","1468011606.44782"
"AC.KE","801","1.35","1468018807.04259"
"GO.KE","371","0.63","1468018807.04259"
"SC.KE","621","1.05","1468018807.04259"
"CO.KE","55045","92.77","1468018807.04259"
"INFO.KE","131","0.22","1468018807.04259"
"ME.KE","340","0.57","1468018807.04259"
"MOBI.KE","45","0.08","1468018807.04259"
"NE.KE","186","0.31","1468018807.04259"
"OR.KE","1798","3.03","1468018807.04259"
"AC.KE","801","1.35","1468026006.6424"
"GO.KE","371","0.63","1468026006.6424"
"SC.KE","621","1.05","1468026006.6424"
"CO.KE","55045","92.77","1468026006.6424"
"INFO.KE","131","0.22","1468026006.6424"
"ME.KE","340","0.57","1468026006.6424"
"MOBI.KE","45","0.08","1468026006.6424"
"NE.KE","186","0.31","1468026006.6424"
"OR.KE","1798","3.03","1468026006.6424"
"AC.KE","801","1.35","1468033206.87002"
"GO.KE","371","0.63","1468033206.87002"
"SC.KE","621","1.05","1468033206.87002"
"CO.KE","55031","92.76","1468033206.87002"
"INFO.KE","131","0.22","1468033206.87002"
"ME.KE","340","0.57","1468033206.87002"
"MOBI.KE","45","0.08","1468033206.87002"
"NE.KE","186","0.31","1468033206.87002"
"OR.KE","1798","3.03","1468033206.87002"
"AC.KE","801","1.35","1468040406.53576"
"GO.KE","371","0.63","1468040406.53576"
"SC.KE","621","1.05","1468040406.53576"
"CO.KE","55032","92.76","1468040406.53576"
"INFO.KE","131","0.22","1468040406.53576"
"ME.KE","340","0.57","1468040406.53576"
"MOBI.KE","45","0.08","1468040406.53576"
"NE.KE","186","0.31","1468040406.53576"
"OR.KE","1798","3.03","1468040406.53576"
