"type","number","percent","time"
"MOBI.KE","45","0.08","1465880405.55901"
"NE.KE","176","0.30","1465880405.55901"
"OR.KE","1784","3.05","1465880405.55901"
"AC.KE","803","1.37","1465887605.96425"
"GO.KE","367","0.63","1465887605.96425"
"SC.KE","578","0.99","1465887605.96425"
"CO.KE","54268","92.80","1465887605.96425"
"INFO.KE","125","0.21","1465887605.96425"
"ME.KE","331","0.57","1465887605.96425"
"MOBI.KE","45","0.08","1465887605.96425"
"NE.KE","176","0.30","1465887605.96425"
"OR.KE","1784","3.05","1465887605.96425"
"AC.KE","803","1.37","1465894805.78967"
"GO.KE","367","0.63","1465894805.78967"
"SC.KE","579","0.99","1465894805.78967"
"CO.KE","54283","92.80","1465894805.78967"
"INFO.KE","125","0.21","1465894805.78967"
"ME.KE","331","0.57","1465894805.78967"
"MOBI.KE","45","0.08","1465894805.78967"
"NE.KE","176","0.30","1465894805.78967"
"OR.KE","1785","3.05","1465894805.78967"
"AC.KE","803","1.37","1465902006.10097"
"GO.KE","367","0.63","1465902006.10097"
"SC.KE","579","0.99","1465902006.10097"
"CO.KE","54298","92.80","1465902006.10097"
"INFO.KE","125","0.21","1465902006.10097"
"ME.KE","331","0.57","1465902006.10097"
"MOBI.KE","45","0.08","1465902006.10097"
"NE.KE","176","0.30","1465902006.10097"
"OR.KE","1786","3.05","1465902006.10097"
"AC.KE","803","1.37","1465909206.30668"
"GO.KE","367","0.63","1465909206.30668"
"SC.KE","579","0.99","1465909206.30668"
"CO.KE","54318","92.80","1465909206.30668"
"INFO.KE","125","0.21","1465909206.30668"
"ME.KE","331","0.57","1465909206.30668"
"MOBI.KE","45","0.08","1465909206.30668"
"NE.KE","176","0.30","1465909206.30668"
"OR.KE","1786","3.05","1465909206.30668"
"AC.KE","803","1.37","1465916405.88707"
"GO.KE","367","0.63","1465916405.88707"
"SC.KE","579","0.99","1465916405.88707"
"CO.KE","54335","92.81","1465916405.88707"
"INFO.KE","125","0.21","1465916405.88707"
"ME.KE","331","0.57","1465916405.88707"
"MOBI.KE","45","0.08","1465916405.88707"
"NE.KE","176","0.30","1465916405.88707"
"OR.KE","1786","3.05","1465916405.88707"
"AC.KE","803","1.37","1465923606.60328"
"GO.KE","367","0.63","1465923606.60328"
"SC.KE","579","0.99","1465923606.60328"
"CO.KE","54343","92.81","1465923606.60328"
"INFO.KE","125","0.21","1465923606.60328"
"ME.KE","331","0.57","1465923606.60328"
"MOBI.KE","45","0.08","1465923606.60328"
"NE.KE","176","0.30","1465923606.60328"
"OR.KE","1786","3.05","1465923606.60328"
"AC.KE","803","1.37","1465930805.56428"
"GO.KE","367","0.63","1465930805.56428"
"SC.KE","579","0.99","1465930805.56428"
"CO.KE","54346","92.81","1465930805.56428"
"INFO.KE","125","0.21","1465930805.56428"
"ME.KE","331","0.57","1465930805.56428"
"MOBI.KE","45","0.08","1465930805.56428"
"NE.KE","176","0.30","1465930805.56428"
"OR.KE","1786","3.05","1465930805.56428"
"AC.KE","803","1.37","1465938006.24949"
"GO.KE","367","0.63","1465938006.24949"
"SC.KE","579","0.99","1465938006.24949"
"CO.KE","54346","92.81","1465938006.24949"
"INFO.KE","125","0.21","1465938006.24949"
"ME.KE","331","0.57","1465938006.24949"
"MOBI.KE","45","0.08","1465938006.24949"
"NE.KE","176","0.30","1465938006.24949"
"OR.KE","1786","3.05","1465938006.24949"
"AC.KE","803","1.37","1465945206.00199"
"GO.KE","367","0.63","1465945206.00199"
"SC.KE","579","0.99","1465945206.00199"
"CO.KE","54353","92.81","1465945206.00199"
"INFO.KE","125","0.21","1465945206.00199"
"ME.KE","331","0.57","1465945206.00199"
"MOBI.KE","45","0.08","1465945206.00199"
"NE.KE","176","0.30","1465945206.00199"
"OR.KE","1786","3.05","1465945206.00199"
"AC.KE","803","1.37","1465952406.25726"
"GO.KE","367","0.63","1465952406.25726"
"SC.KE","579","0.99","1465952406.25726"
"CO.KE","54353","92.81","1465952406.25726"
"INFO.KE","125","0.21","1465952406.25726"
"ME.KE","331","0.57","1465952406.25726"
"MOBI.KE","45","0.08","1465952406.25726"
"NE.KE","176","0.30","1465952406.25726"
"OR.KE","1786","3.05","1465952406.25726"
"AC.KE","803","1.37","1465959676.28804"
"GO.KE","367","0.63","1465959676.28804"
"SC.KE","579","0.99","1465959676.28804"
"CO.KE","54304","92.81","1465959676.28804"
"INFO.KE","125","0.21","1465959676.28804"
"ME.KE","331","0.57","1465959676.28804"
"MOBI.KE","45","0.08","1465959676.28804"
"NE.KE","172","0.29","1465959676.28804"
"OR.KE","1785","3.05","1465959676.28804"
"AC.KE","803","1.37","1465966806.87634"
"GO.KE","367","0.63","1465966806.87634"
"SC.KE","579","0.99","1465966806.87634"
"CO.KE","54304","92.81","1465966806.87634"
"INFO.KE","125","0.21","1465966806.87634"
"ME.KE","331","0.57","1465966806.87634"
"MOBI.KE","45","0.08","1465966806.87634"
"NE.KE","172","0.29","1465966806.87634"
"OR.KE","1786","3.05","1465966806.87634"
"AC.KE","803","1.37","1465974005.95807"
"GO.KE","367","0.63","1465974005.95807"
"SC.KE","580","0.99","1465974005.95807"
"CO.KE","54311","92.81","1465974005.95807"
"INFO.KE","125","0.21","1465974005.95807"
"ME.KE","331","0.57","1465974005.95807"
"MOBI.KE","45","0.08","1465974005.95807"
"NE.KE","172","0.29","1465974005.95807"
"OR.KE","1786","3.05","1465974005.95807"
"AC.KE","803","1.37","1465981206.02635"
"GO.KE","367","0.63","1465981206.02635"
"SC.KE","581","0.99","1465981206.02635"
"CO.KE","54331","92.81","1465981206.02635"
"INFO.KE","125","0.21","1465981206.02635"
"ME.KE","331","0.57","1465981206.02635"
"MOBI.KE","45","0.08","1465981206.02635"
"NE.KE","172","0.29","1465981206.02635"
"OR.KE","1786","3.05","1465981206.02635"
"AC.KE","803","1.37","1465988406.56262"
"GO.KE","367","0.63","1465988406.56262"
"SC.KE","582","0.99","1465988406.56262"
"CO.KE","54352","92.81","1465988406.56262"
"INFO.KE","125","0.21","1465988406.56262"
"ME.KE","331","0.57","1465988406.56262"
"MOBI.KE","45","0.08","1465988406.56262"
"NE.KE","172","0.29","1465988406.56262"
"OR.KE","1788","3.05","1465988406.56262"
"AC.KE","803","1.37","1465995630.91378"
"GO.KE","367","0.63","1465995630.91378"
"SC.KE","583","1.00","1465995630.91378"
"CO.KE","54366","92.80","1465995630.91378"
"INFO.KE","125","0.21","1465995630.91378"
"ME.KE","331","0.57","1465995630.91378"
"MOBI.KE","45","0.08","1465995630.91378"
"NE.KE","173","0.30","1465995630.91378"
"OR.KE","1788","3.05","1465995630.91378"
"AC.KE","803","1.37","1466002807.11666"
"GO.KE","367","0.63","1466002807.11666"
"SC.KE","584","1.00","1466002807.11666"
"CO.KE","54383","92.80","1466002807.11666"
"INFO.KE","125","0.21","1466002807.11666"
"ME.KE","331","0.56","1466002807.11666"
"MOBI.KE","45","0.08","1466002807.11666"
"NE.KE","179","0.31","1466002807.11666"
"OR.KE","1788","3.05","1466002807.11666"
"AC.KE","803","1.37","1466010006.63705"
"GO.KE","367","0.63","1466010006.63705"
"SC.KE","584","1.00","1466010006.63705"
"CO.KE","54390","92.80","1466010006.63705"
"INFO.KE","125","0.21","1466010006.63705"
"ME.KE","331","0.56","1466010006.63705"
"MOBI.KE","45","0.08","1466010006.63705"
"NE.KE","179","0.31","1466010006.63705"
"OR.KE","1788","3.05","1466010006.63705"
"AC.KE","803","1.37","1466017206.9449"
"GO.KE","367","0.63","1466017206.9449"
"SC.KE","584","1.00","1466017206.9449"
"CO.KE","54396","92.79","1466017206.9449"
"INFO.KE","125","0.21","1466017206.9449"
"ME.KE","331","0.56","1466017206.9449"
"MOBI.KE","45","0.08","1466017206.9449"
"NE.KE","180","0.31","1466017206.9449"
"OR.KE","1789","3.05","1466017206.9449"
"AC.KE","803","1.37","1466024406.26074"
"GO.KE","367","0.63","1466024406.26074"
"SC.KE","584","1.00","1466024406.26074"
"CO.KE","54399","92.79","1466024406.26074"
"INFO.KE","125","0.21","1466024406.26074"
"ME.KE","331","0.56","1466024406.26074"
"MOBI.KE","45","0.08","1466024406.26074"
"NE.KE","180","0.31","1466024406.26074"
"OR.KE","1789","3.05","1466024406.26074"
"AC.KE","803","1.37","1466031606.53452"
"GO.KE","367","0.63","1466031606.53452"
"SC.KE","584","1.00","1466031606.53452"
"CO.KE","54400","92.79","1466031606.53452"
"INFO.KE","125","0.21","1466031606.53452"
"ME.KE","331","0.56","1466031606.53452"
"MOBI.KE","45","0.08","1466031606.53452"
"NE.KE","183","0.31","1466031606.53452"
"OR.KE","1789","3.05","1466031606.53452"
"AC.KE","803","1.37","1466038806.55241"
"GO.KE","367","0.63","1466038806.55241"
"SC.KE","584","1.00","1466038806.55241"
"CO.KE","54400","92.79","1466038806.55241"
"INFO.KE","125","0.21","1466038806.55241"
"ME.KE","331","0.56","1466038806.55241"
"MOBI.KE","45","0.08","1466038806.55241"
"NE.KE","183","0.31","1466038806.55241"
"OR.KE","1789","3.05","1466038806.55241"
"AC.KE","803","1.37","1466046006.70446"
"GO.KE","367","0.63","1466046006.70446"
"SC.KE","584","1.00","1466046006.70446"
"CO.KE","54368","92.79","1466046006.70446"
"INFO.KE","125","0.21","1466046006.70446"
"ME.KE","331","0.56","1466046006.70446"
"MOBI.KE","45","0.08","1466046006.70446"
"NE.KE","183","0.31","1466046006.70446"
"OR.KE","1789","3.05","1466046006.70446"
"AC.KE","803","1.37","1466053206.82729"
"GO.KE","367","0.63","1466053206.82729"
"SC.KE","584","1.00","1466053206.82729"
"CO.KE","54371","92.79","1466053206.82729"
"INFO.KE","125","0.21","1466053206.82729"
"ME.KE","331","0.56","1466053206.82729"
"MOBI.KE","45","0.08","1466053206.82729"
"NE.KE","183","0.31","1466053206.82729"
"OR.KE","1789","3.05","1466053206.82729"
"AC.KE","803","1.37","1466060406.21634"
"GO.KE","367","0.63","1466060406.21634"
"SC.KE","587","1.00","1466060406.21634"
"CO.KE","54377","92.78","1466060406.21634"
"INFO.KE","125","0.21","1466060406.21634"
"ME.KE","331","0.56","1466060406.21634"
"MOBI.KE","45","0.08","1466060406.21634"
"NE.KE","183","0.31","1466060406.21634"
"OR.KE","1789","3.05","1466060406.21634"
"AC.KE","803","1.37","1466067606.58399"
"GO.KE","367","0.63","1466067606.58399"
"SC.KE","587","1.00","1466067606.58399"
"CO.KE","54388","92.78","1466067606.58399"
"INFO.KE","125","0.21","1466067606.58399"
"ME.KE","331","0.56","1466067606.58399"
"MOBI.KE","45","0.08","1466067606.58399"
"NE.KE","185","0.32","1466067606.58399"
"OR.KE","1789","3.05","1466067606.58399"
"AC.KE","803","1.37","1466074806.72107"
"GO.KE","367","0.63","1466074806.72107"
