"details","numbers","time"
"Total domains registered within 30 Days","2371","1468594806.48454"
"Total domains renewed within 24 Hours","100","1468594806.48454"
"Total domains renewed within 30 Days","2457","1468594806.48454"
"Total domains","59674","1468602005.99642"
"Total domains registered within 24 hours","104","1468602005.99642"
"Total domains registered within 30 Days","2369","1468602005.99642"
"Total domains renewed within 24 Hours","99","1468602005.99642"
"Total domains renewed within 30 Days","2461","1468602005.99642"
"Total domains","59677","1468609207.20041"
"Total domains registered within 24 hours","92","1468609207.20041"
"Total domains registered within 30 Days","2363","1468609207.20041"
"Total domains renewed within 24 Hours","95","1468609207.20041"
"Total domains renewed within 30 Days","2467","1468609207.20041"
"Total domains","59680","1468616405.95517"
"Total domains registered within 24 hours","92","1468616405.95517"
"Total domains registered within 30 Days","2363","1468616405.95517"
"Total domains renewed within 24 Hours","93","1468616405.95517"
"Total domains renewed within 30 Days","2460","1468616405.95517"
"Total domains","59682","1468623606.77613"
"Total domains registered within 24 hours","89","1468623606.77613"
"Total domains registered within 30 Days","2361","1468623606.77613"
"Total domains renewed within 24 Hours","92","1468623606.77613"
"Total domains renewed within 30 Days","2455","1468623606.77613"
"Total domains","59682","1468630806.89396"
"Total domains registered within 24 hours","88","1468630806.89396"
"Total domains registered within 30 Days","2361","1468630806.89396"
"Total domains renewed within 24 Hours","92","1468630806.89396"
"Total domains renewed within 30 Days","2455","1468630806.89396"
"Total domains","59629","1468638007.84711"
"Total domains registered within 24 hours","87","1468638007.84711"
"Total domains registered within 30 Days","2360","1468638007.84711"
"Total domains renewed within 24 Hours","91","1468638007.84711"
"Total domains renewed within 30 Days","2455","1468638007.84711"
"Total domains","59629","1468645206.5508"
"Total domains registered within 24 hours","84","1468645206.5508"
"Total domains registered within 30 Days","2357","1468645206.5508"
"Total domains renewed within 24 Hours","90","1468645206.5508"
"Total domains renewed within 30 Days","2454","1468645206.5508"
"Total domains","59631","1468652407.19305"
"Total domains registered within 24 hours","77","1468652407.19305"
"Total domains registered within 30 Days","2350","1468652407.19305"
"Total domains renewed within 24 Hours","87","1468652407.19305"
"Total domains renewed within 30 Days","2449","1468652407.19305"
"Total domains","59641","1468659606.92097"
"Total domains registered within 24 hours","66","1468659606.92097"
"Total domains registered within 30 Days","2347","1468659606.92097"
"Total domains renewed within 24 Hours","77","1468659606.92097"
"Total domains renewed within 30 Days","2437","1468659606.92097"
"Total domains","59645","1468666806.83784"
"Total domains registered within 24 hours","56","1468666806.83784"
"Total domains registered within 30 Days","2331","1468666806.83784"
"Total domains renewed within 24 Hours","74","1468666806.83784"
"Total domains renewed within 30 Days","2429","1468666806.83784"
"Total domains","59655","1468674006.37217"
"Total domains registered within 24 hours","49","1468674006.37217"
"Total domains registered within 30 Days","2329","1468674006.37217"
"Total domains renewed within 24 Hours","65","1468674006.37217"
"Total domains renewed within 30 Days","2417","1468674006.37217"
"Total domains","59658","1468681206.93764"
"Total domains registered within 24 hours","43","1468681206.93764"
"Total domains registered within 30 Days","2319","1468681206.93764"
"Total domains renewed within 24 Hours","51","1468681206.93764"
"Total domains renewed within 30 Days","2399","1468681206.93764"
"Total domains","59659","1468688406.38153"
"Total domains registered within 24 hours","38","1468688406.38153"
"Total domains registered within 30 Days","2316","1468688406.38153"
"Total domains renewed within 24 Hours","43","1468688406.38153"
"Total domains renewed within 30 Days","2397","1468688406.38153"
"Total domains","59662","1468695606.68358"
"Total domains registered within 24 hours","38","1468695606.68358"
"Total domains registered within 30 Days","2313","1468695606.68358"
"Total domains renewed within 24 Hours","36","1468695606.68358"
"Total domains renewed within 30 Days","2396","1468695606.68358"
"Total domains","59666","1468702806.63638"
"Total domains registered within 24 hours","39","1468702806.63638"
"Total domains registered within 30 Days","2315","1468702806.63638"
"Total domains renewed within 24 Hours","36","1468702806.63638"
"Total domains renewed within 30 Days","2397","1468702806.63638"
"Total domains","59666","1468710007.15912"
"Total domains registered within 24 hours","37","1468710007.15912"
"Total domains registered within 30 Days","2311","1468710007.15912"
"Total domains renewed within 24 Hours","36","1468710007.15912"
"Total domains renewed within 30 Days","2397","1468710007.15912"
"Total domains","59666","1468717206.96058"
"Total domains registered within 24 hours","37","1468717206.96058"
"Total domains registered within 30 Days","2311","1468717206.96058"
"Total domains renewed within 24 Hours","39","1468717206.96058"
"Total domains renewed within 30 Days","2400","1468717206.96058"
"Total domains","59621","1468724405.9336"
"Total domains registered within 24 hours","37","1468724405.9336"
"Total domains registered within 30 Days","2311","1468724405.9336"
"Total domains renewed within 24 Hours","39","1468724405.9336"
"Total domains renewed within 30 Days","2400","1468724405.9336"
"Total domains","59621","1468731606.57005"
"Total domains registered within 24 hours","37","1468731606.57005"
"Total domains registered within 30 Days","2310","1468731606.57005"
"Total domains renewed within 24 Hours","36","1468731606.57005"
"Total domains renewed within 30 Days","2398","1468731606.57005"
"Total domains","59623","1468738806.3843"
"Total domains registered within 24 hours","37","1468738806.3843"
"Total domains registered within 30 Days","2296","1468738806.3843"
"Total domains renewed within 24 Hours","34","1468738806.3843"
"Total domains renewed within 30 Days","2382","1468738806.3843"
"Total domains","59624","1468746006.87012"
"Total domains registered within 24 hours","28","1468746006.87012"
"Total domains registered within 30 Days","2286","1468746006.87012"
"Total domains renewed within 24 Hours","31","1468746006.87012"
"Total domains renewed within 30 Days","2360","1468746006.87012"
"Total domains","59629","1468753206.44508"
"Total domains registered within 24 hours","29","1468753206.44508"
"Total domains registered within 30 Days","2272","1468753206.44508"
"Total domains renewed within 24 Hours","25","1468753206.44508"
"Total domains renewed within 30 Days","2352","1468753206.44508"
"Total domains","59631","1468760406.23983"
"Total domains registered within 24 hours","21","1468760406.23983"
"Total domains registered within 30 Days","2259","1468760406.23983"
"Total domains renewed within 24 Hours","20","1468760406.23983"
"Total domains renewed within 30 Days","2328","1468760406.23983"
"Total domains","59632","1468767606.63243"
"Total domains registered within 24 hours","19","1468767606.63243"
"Total domains registered within 30 Days","2250","1468767606.63243"
"Total domains renewed within 24 Hours","16","1468767606.63243"
"Total domains renewed within 30 Days","2321","1468767606.63243"
"Total domains","59636","1468774807.16734"
"Total domains registered within 24 hours","22","1468774807.16734"
"Total domains registered within 30 Days","2249","1468774807.16734"
"Total domains renewed within 24 Hours","15","1468774807.16734"
"Total domains renewed within 30 Days","2313","1468774807.16734"
"Total domains","59636","1468782006.60374"
"Total domains registered within 24 hours","19","1468782006.60374"
"Total domains registered within 30 Days","2244","1468782006.60374"
"Total domains renewed within 24 Hours","17","1468782006.60374"
"Total domains renewed within 30 Days","2313","1468782006.60374"
"Total domains","59636","1468789206.22946"
"Total domains registered within 24 hours","15","1468789206.22946"
"Total domains registered within 30 Days","2239","1468789206.22946"
"Total domains renewed within 24 Hours","18","1468789206.22946"
"Total domains renewed within 30 Days","2314","1468789206.22946"
"Total domains","59636","1468796406.09539"
"Total domains registered within 24 hours","15","1468796406.09539"
"Total domains registered within 30 Days","2239","1468796406.09539"
"Total domains renewed within 24 Hours","19","1468796406.09539"
"Total domains renewed within 30 Days","2315","1468796406.09539"
"Total domains","59636","1468803605.74119"
"Total domains registered within 24 hours","15","1468803605.74119"
"Total domains registered within 30 Days","2239","1468803605.74119"
"Total domains renewed within 24 Hours","19","1468803605.74119"
"Total domains renewed within 30 Days","2318","1468803605.74119"
"Total domains","59593","1468810806.14646"
"Total domains registered within 24 hours","15","1468810806.14646"
"Total domains registered within 30 Days","2239","1468810806.14646"
"Total domains renewed within 24 Hours","19","1468810806.14646"
"Total domains renewed within 30 Days","2318","1468810806.14646"
"Total domains","59596","1468818006.34345"
"Total domains registered within 24 hours","18","1468818006.34345"
"Total domains registered within 30 Days","2240","1468818006.34345"
"Total domains renewed within 24 Hours","22","1468818006.34345"
"Total domains renewed within 30 Days","2321","1468818006.34345"
"Total domains","59607","1468825206.63516"
"Total domains registered within 24 hours","27","1468825206.63516"
"Total domains registered within 30 Days","2241","1468825206.63516"
"Total domains renewed within 24 Hours","39","1468825206.63516"
"Total domains renewed within 30 Days","2338","1468825206.63516"
"Total domains","59626","1468832405.90122"
"Total domains registered within 24 hours","45","1468832405.90122"
"Total domains registered within 30 Days","2240","1468832405.90122"
"Total domains renewed within 24 Hours","62","1468832405.90122"
"Total domains renewed within 30 Days","2357","1468832405.90122"
"Total domains","59641","1468839606.96556"
"Total domains registered within 24 hours","55","1468839606.96556"
"Total domains registered within 30 Days","2246","1468839606.96556"
"Total domains renewed within 24 Hours","84","1468839606.96556"
"Total domains renewed within 30 Days","2366","1468839606.96556"
"Total domains","59656","1468846805.91076"
"Total domains registered within 24 hours","68","1468846805.91076"
"Total domains registered within 30 Days","2259","1468846805.91076"
"Total domains renewed within 24 Hours","105","1468846805.91076"
"Total domains renewed within 30 Days","2381","1468846805.91076"
"Total domains","59677","1468854011.23036"
"Total domains registered within 24 hours","88","1468854011.23036"
"Total domains registered within 30 Days","2277","1468854011.23036"
"Total domains renewed within 24 Hours","118","1468854011.23036"
"Total domains renewed within 30 Days","2394","1468854011.23036"
"Total domains","59693","1468861211.84136"
"Total domains registered within 24 hours","100","1468861211.84136"
"Total domains registered within 30 Days","2293","1468861211.84136"
"Total domains renewed within 24 Hours","128","1468861211.84136"
"Total domains renewed within 30 Days","2402","1468861211.84136"
"Total domains","59696","1468868406.56266"
"Total domains registered within 24 hours","103","1468868406.56266"
"Total domains registered within 30 Days","2293","1468868406.56266"
"Total domains renewed within 24 Hours","132","1468868406.56266"
"Total domains renewed within 30 Days","2406","1468868406.56266"
"Total domains","59707","1468875606.59221"
"Total domains registered within 24 hours","114","1468875606.59221"
"Total domains registered within 30 Days","2301","1468875606.59221"
"Total domains renewed within 24 Hours","133","1468875606.59221"
"Total domains renewed within 30 Days","2409","1468875606.59221"
"Total domains","59709","1468882806.26393"
"Total domains registered within 24 hours","116","1468882806.26393"
"Total domains registered within 30 Days","2303","1468882806.26393"
"Total domains renewed within 24 Hours","133","1468882806.26393"
"Total domains renewed within 30 Days","2410","1468882806.26393"
"Total domains","59710","1468890006.43348"
"Total domains registered within 24 hours","117","1468890006.43348"
"Total domains registered within 30 Days","2303","1468890006.43348"
"Total domains renewed within 24 Hours","130","1468890006.43348"
"Total domains renewed within 30 Days","2410","1468890006.43348"
"Total domains","59653","1468897206.3428"
"Total domains registered within 24 hours","117","1468897206.3428"
"Total domains registered within 30 Days","2303","1468897206.3428"
"Total domains renewed within 24 Hours","130","1468897206.3428"
"Total domains renewed within 30 Days","2410","1468897206.3428"
"Total domains","59654","1468904405.67464"
"Total domains registered within 24 hours","115","1468904405.67464"
"Total domains registered within 30 Days","2302","1468904405.67464"
"Total domains renewed within 24 Hours","131","1468904405.67464"
"Total domains renewed within 30 Days","2413","1468904405.67464"
"Total domains","59662","1468911606.53072"
"Total domains registered within 24 hours","113","1468911606.53072"
"Total domains registered within 30 Days","2309","1468911606.53072"
"Total domains renewed within 24 Hours","122","1468911606.53072"
"Total domains renewed within 30 Days","2421","1468911606.53072"
"Total domains","59680","1468918806.05442"
"Total domains registered within 24 hours","112","1468918806.05442"
"Total domains registered within 30 Days","2325","1468918806.05442"
"Total domains renewed within 24 Hours","110","1468918806.05442"
"Total domains renewed within 30 Days","2437","1468918806.05442"
"Total domains","59695","1468926007.69493"
"Total domains registered within 24 hours","112","1468926007.69493"
"Total domains registered within 30 Days","2339","1468926007.69493"
"Total domains renewed within 24 Hours","104","1468926007.69493"
"Total domains renewed within 30 Days","2453","1468926007.69493"
"Total domains","59716","1468933207.08044"
"Total domains registered within 24 hours","119","1468933207.08044"
"Total domains registered within 30 Days","2360","1468933207.08044"
"Total domains renewed within 24 Hours","90","1468933207.08044"
"Total domains renewed within 30 Days","2461","1468933207.08044"
"Total domains","59735","1468940406.07714"
"Total domains registered within 24 hours","117","1468940406.07714"
"Total domains registered within 30 Days","2375","1468940406.07714"
"Total domains renewed within 24 Hours","91","1468940406.07714"
"Total domains renewed within 30 Days","2476","1468940406.07714"
"Total domains","59742","1468947607.23907"
"Total domains registered within 24 hours","108","1468947607.23907"
"Total domains registered within 30 Days","2378","1468947607.23907"
"Total domains renewed within 24 Hours","93","1468947607.23907"
"Total domains renewed within 30 Days","2487","1468947607.23907"
"Total domains","59753","1468954806.8463"
"Total domains registered within 24 hours","116","1468954806.8463"
"Total domains registered within 30 Days","2388","1468954806.8463"
"Total domains renewed within 24 Hours","97","1468954806.8463"
"Total domains renewed within 30 Days","2496","1468954806.8463"
"Total domains","59759","1468962006.92889"
"Total domains registered within 24 hours","111","1468962006.92889"
"Total domains registered within 30 Days","2392","1468962006.92889"
"Total domains renewed within 24 Hours","96","1468962006.92889"
"Total domains renewed within 30 Days","2494","1468962006.92889"
"Total domains","59762","1468969206.46793"
"Total domains registered within 24 hours","112","1468969206.46793"
"Total domains registered within 30 Days","2394","1468969206.46793"
"Total domains renewed within 24 Hours","96","1468969206.46793"
"Total domains renewed within 30 Days","2494","1468969206.46793"
"Total domains","59763","1468976406.57824"
"Total domains registered within 24 hours","112","1468976406.57824"
"Total domains registered within 30 Days","2394","1468976406.57824"
"Total domains renewed within 24 Hours","96","1468976406.57824"
"Total domains renewed within 30 Days","2494","1468976406.57824"
"Total domains","59715","1468983607.02392"
"Total domains registered within 24 hours","112","1468983607.02392"
"Total domains registered within 30 Days","2393","1468983607.02392"
"Total domains renewed within 24 Hours","97","1468983607.02392"
"Total domains renewed within 30 Days","2495","1468983607.02392"
"Total domains","59718","1468990805.84584"
"Total domains registered within 24 hours","114","1468990805.84584"
"Total domains registered within 30 Days","2396","1468990805.84584"
"Total domains renewed within 24 Hours","96","1468990805.84584"
"Total domains renewed within 30 Days","2498","1468990805.84584"
"Total domains","59726","1468998006.53711"
"Total domains registered within 24 hours","114","1468998006.53711"
"Total domains registered within 30 Days","2401","1468998006.53711"
"Total domains renewed within 24 Hours","92","1468998006.53711"
"Total domains renewed within 30 Days","2496","1468998006.53711"
"Total domains","59741","1469005209.23841"
"Total domains registered within 24 hours","111","1469005209.23841"
"Total domains registered within 30 Days","2398","1469005209.23841"
"Total domains renewed within 24 Hours","90","1469005209.23841"
"Total domains renewed within 30 Days","2487","1469005209.23841"
"Total domains","59757","1469012406.779"
"Total domains registered within 24 hours","113","1469012406.779"
"Total domains registered within 30 Days","2394","1469012406.779"
"Total domains renewed within 24 Hours","98","1469012406.779"
"Total domains renewed within 30 Days","2486","1469012406.779"
"Total domains","59779","1469019606.37526"
"Total domains registered within 24 hours","114","1469019606.37526"
"Total domains registered within 30 Days","2402","1469019606.37526"
"Total domains renewed within 24 Hours","104","1469019606.37526"
"Total domains renewed within 30 Days","2483","1469019606.37526"
"Total domains","59788","1469026806.00662"
"Total domains registered within 24 hours","104","1469026806.00662"
"Total domains registered within 30 Days","2396","1469026806.00662"
"Total domains renewed within 24 Hours","96","1469026806.00662"
"Total domains renewed within 30 Days","2478","1469026806.00662"
"Total domains","59798","1469034006.59588"
"Total domains registered within 24 hours","107","1469034006.59588"
"Total domains registered within 30 Days","2402","1469034006.59588"
"Total domains renewed within 24 Hours","93","1469034006.59588"
"Total domains renewed within 30 Days","2484","1469034006.59588"
"Total domains","59804","1469041206.13241"
"Total domains registered within 24 hours","102","1469041206.13241"
"Total domains registered within 30 Days","2406","1469041206.13241"
"Total domains renewed within 24 Hours","93","1469041206.13241"
"Total domains renewed within 30 Days","2491","1469041206.13241"
"Total domains","59809","1469048406.5176"
"Total domains registered within 24 hours","101","1469048406.5176"
"Total domains registered within 30 Days","2411","1469048406.5176"
"Total domains renewed within 24 Hours","93","1469048406.5176"
"Total domains renewed within 30 Days","2488","1469048406.5176"
"Total domains","59811","1469055605.89438"
"Total domains registered within 24 hours","100","1469055605.89438"
"Total domains registered within 30 Days","2409","1469055605.89438"
"Total domains renewed within 24 Hours","92","1469055605.89438"
"Total domains renewed within 30 Days","2484","1469055605.89438"
"Total domains","59812","1469062806.20261"
"Total domains registered within 24 hours","100","1469062806.20261"
"Total domains registered within 30 Days","2410","1469062806.20261"
"Total domains renewed within 24 Hours","92","1469062806.20261"
"Total domains renewed within 30 Days","2484","1469062806.20261"
"Total domains","59790","1469070006.87796"
"Total domains registered within 24 hours","100","1469070006.87796"
"Total domains registered within 30 Days","2410","1469070006.87796"
"Total domains renewed within 24 Hours","91","1469070006.87796"
"Total domains renewed within 30 Days","2484","1469070006.87796"
"Total domains","59793","1469077205.3818"
"Total domains registered within 24 hours","100","1469077205.3818"
"Total domains registered within 30 Days","2412","1469077205.3818"
"Total domains renewed within 24 Hours","89","1469077205.3818"
"Total domains renewed within 30 Days","2484","1469077205.3818"
"Total domains","59807","1469084406.17821"
"Total domains registered within 24 hours","105","1469084406.17821"
"Total domains registered within 30 Days","2418","1469084406.17821"
"Total domains renewed within 24 Hours","106","1469084406.17821"
"Total domains renewed within 30 Days","2491","1469084406.17821"
"Total domains","59824","1469091606.73213"
"Total domains registered within 24 hours","107","1469091606.73213"
"Total domains registered within 30 Days","2420","1469091606.73213"
"Total domains renewed within 24 Hours","118","1469091606.73213"
"Total domains renewed within 30 Days","2498","1469091606.73213"
"Total domains","59834","1469098806.31764"
"Total domains registered within 24 hours","100","1469098806.31764"
"Total domains registered within 30 Days","2410","1469098806.31764"
"Total domains renewed within 24 Hours","122","1469098806.31764"
"Total domains renewed within 30 Days","2506","1469098806.31764"
"Total domains","59849","1469106006.45101"
"Total domains registered within 24 hours","92","1469106006.45101"
"Total domains registered within 30 Days","2408","1469106006.45101"
"Total domains renewed within 24 Hours","123","1469106006.45101"
"Total domains renewed within 30 Days","2507","1469106006.45101"
"Total domains","59861","1469113206.19788"
"Total domains registered within 24 hours","95","1469113206.19788"
"Total domains registered within 30 Days","2407","1469113206.19788"
"Total domains renewed within 24 Hours","127","1469113206.19788"
"Total domains renewed within 30 Days","2504","1469113206.19788"
"Total domains","59872","1469120407.33983"
"Total domains registered within 24 hours","96","1469120407.33983"
"Total domains registered within 30 Days","2410","1469120407.33983"
"Total domains renewed within 24 Hours","124","1469120407.33983"
"Total domains renewed within 30 Days","2507","1469120407.33983"
"Total domains","59879","1469127606.92221"
"Total domains registered within 24 hours","97","1469127606.92221"
"Total domains registered within 30 Days","2408","1469127606.92221"
"Total domains renewed within 24 Hours","115","1469127606.92221"
"Total domains renewed within 30 Days","2504","1469127606.92221"
"Total domains","59884","1469134807.05032"
"Total domains registered within 24 hours","97","1469134807.05032"
"Total domains registered within 30 Days","2408","1469134807.05032"
"Total domains renewed within 24 Hours","114","1469134807.05032"
"Total domains renewed within 30 Days","2504","1469134807.05032"
"Total domains","59884","1469142006.39233"
"Total domains registered within 24 hours","95","1469142006.39233"
"Total domains registered within 30 Days","2407","1469142006.39233"
"Total domains renewed within 24 Hours","118","1469142006.39233"
"Total domains renewed within 30 Days","2506","1469142006.39233"
"Total domains","59884","1469149206.1458"
"Total domains registered within 24 hours","94","1469149206.1458"
"Total domains registered within 30 Days","2407","1469149206.1458"
"Total domains renewed within 24 Hours","118","1469149206.1458"
"Total domains renewed within 30 Days","2505","1469149206.1458"
"Total domains","59871","1469156407.91524"
"Total domains registered within 24 hours","94","1469156407.91524"
"Total domains registered within 30 Days","2406","1469156407.91524"
"Total domains renewed within 24 Hours","118","1469156407.91524"
"Total domains renewed within 30 Days","2505","1469156407.91524"
"Total domains","59887","1469163606.75731"
"Total domains registered within 24 hours","107","1469163606.75731"
"Total domains registered within 30 Days","2421","1469163606.75731"
"Total domains renewed within 24 Hours","117","1469163606.75731"
"Total domains renewed within 30 Days","2504","1469163606.75731"
"Total domains","59895","1469170806.23431"
"Total domains registered within 24 hours","102","1469170806.23431"
"Total domains registered within 30 Days","2414","1469170806.23431"
"Total domains renewed within 24 Hours","102","1469170806.23431"
"Total domains renewed within 30 Days","2491","1469170806.23431"
"Total domains","59913","1469178008.29519"
"Total domains registered within 24 hours","102","1469178008.29519"
"Total domains registered within 30 Days","2418","1469178008.29519"
"Total domains renewed within 24 Hours","106","1469178008.29519"
"Total domains renewed within 30 Days","2502","1469178008.29519"
"Total domains","59926","1469185206.44786"
"Total domains registered within 24 hours","105","1469185206.44786"
"Total domains registered within 30 Days","2420","1469185206.44786"
"Total domains renewed within 24 Hours","99","1469185206.44786"
"Total domains renewed within 30 Days","2509","1469185206.44786"
"Total domains","59946","1469192406.84772"
"Total domains registered within 24 hours","110","1469192406.84772"
"Total domains registered within 30 Days","2429","1469192406.84772"
"Total domains renewed within 24 Hours","90","1469192406.84772"
"Total domains renewed within 30 Days","2474","1469192406.84772"
"Total domains","59962","1469199606.91245"
"Total domains registered within 24 hours","114","1469199606.91245"
"Total domains registered within 30 Days","2431","1469199606.91245"
"Total domains renewed within 24 Hours","89","1469199606.91245"
"Total domains renewed within 30 Days","2475","1469199606.91245"
"Total domains","59965","1469206806.84116"
"Total domains registered within 24 hours","106","1469206806.84116"
"Total domains registered within 30 Days","2429","1469206806.84116"
"Total domains renewed within 24 Hours","88","1469206806.84116"
"Total domains renewed within 30 Days","2477","1469206806.84116"
"Total domains","59971","1469214006.64961"
"Total domains registered within 24 hours","105","1469214006.64961"
"Total domains registered within 30 Days","2432","1469214006.64961"
"Total domains renewed within 24 Hours","91","1469214006.64961"
"Total domains renewed within 30 Days","2478","1469214006.64961"
"Total domains","59972","1469221206.84452"
"Total domains registered within 24 hours","101","1469221206.84452"
"Total domains registered within 30 Days","2431","1469221206.84452"
"Total domains renewed within 24 Hours","91","1469221206.84452"
"Total domains renewed within 30 Days","2475","1469221206.84452"
"Total domains","59973","1469228406.98099"
"Total domains registered within 24 hours","102","1469228406.98099"
"Total domains registered within 30 Days","2432","1469228406.98099"
"Total domains renewed within 24 Hours","87","1469228406.98099"
"Total domains renewed within 30 Days","2475","1469228406.98099"
"Total domains","59974","1469235607.04641"
"Total domains registered within 24 hours","103","1469235607.04641"
"Total domains registered within 30 Days","2432","1469235607.04641"
"Total domains renewed within 24 Hours","87","1469235607.04641"
"Total domains renewed within 30 Days","2475","1469235607.04641"
"Total domains","59936","1469242806.56951"
"Total domains registered within 24 hours","103","1469242806.56951"
"Total domains registered within 30 Days","2431","1469242806.56951"
"Total domains renewed within 24 Hours","87","1469242806.56951"
"Total domains renewed within 30 Days","2475","1469242806.56951"
"Total domains","59937","1469250007.24928"
"Total domains registered within 24 hours","88","1469250007.24928"
"Total domains registered within 30 Days","2431","1469250007.24928"
"Total domains renewed within 24 Hours","87","1469250007.24928"
"Total domains renewed within 30 Days","2475","1469250007.24928"
"Total domains","59943","1469257206.79385"
"Total domains registered within 24 hours","85","1469257206.79385"
"Total domains registered within 30 Days","2429","1469257206.79385"
"Total domains renewed within 24 Hours","82","1469257206.79385"
"Total domains renewed within 30 Days","2458","1469257206.79385"
"Total domains","59953","1469264407.36485"
"Total domains registered within 24 hours","78","1469264407.36485"
"Total domains registered within 30 Days","2423","1469264407.36485"
"Total domains renewed within 24 Hours","58","1469264407.36485"
"Total domains renewed within 30 Days","2450","1469264407.36485"
"Total domains","59959","1469271606.6523"
"Total domains registered within 24 hours","71","1469271606.6523"
"Total domains registered within 30 Days","2410","1469271606.6523"
"Total domains renewed within 24 Hours","42","1469271606.6523"
"Total domains renewed within 30 Days","2441","1469271606.6523"
"Total domains","59962","1469278806.63865"
"Total domains registered within 24 hours","59","1469278806.63865"
"Total domains registered within 30 Days","2391","1469278806.63865"
"Total domains renewed within 24 Hours","40","1469278806.63865"
"Total domains renewed within 30 Days","2426","1469278806.63865"
"Total domains","59967","1469286007.54616"
"Total domains registered within 24 hours","48","1469286007.54616"
"Total domains registered within 30 Days","2386","1469286007.54616"
"Total domains renewed within 24 Hours","35","1469286007.54616"
"Total domains renewed within 30 Days","2422","1469286007.54616"
"Total domains","59969","1469293206.84362"
"Total domains registered within 24 hours","47","1469293206.84362"
"Total domains registered within 30 Days","2378","1469293206.84362"
"Total domains renewed within 24 Hours","31","1469293206.84362"
"Total domains renewed within 30 Days","2419","1469293206.84362"
"Total domains","59972","1469300406.46308"
"Total domains registered within 24 hours","44","1469300406.46308"
"Total domains registered within 30 Days","2372","1469300406.46308"
"Total domains renewed within 24 Hours","29","1469300406.46308"
"Total domains renewed within 30 Days","2417","1469300406.46308"
"Total domains","59972","1469307607.32299"
"Total domains registered within 24 hours","43","1469307607.32299"
"Total domains registered within 30 Days","2371","1469307607.32299"
"Total domains renewed within 24 Hours","28","1469307607.32299"
"Total domains renewed within 30 Days","2414","1469307607.32299"
"Total domains","59973","1469314807.19583"
"Total domains registered within 24 hours","43","1469314807.19583"
"Total domains registered within 30 Days","2370","1469314807.19583"
"Total domains renewed within 24 Hours","29","1469314807.19583"
"Total domains renewed within 30 Days","2415","1469314807.19583"
"Total domains","59973","1469322006.17625"
"Total domains registered within 24 hours","42","1469322006.17625"
"Total domains registered within 30 Days","2370","1469322006.17625"
"Total domains renewed within 24 Hours","29","1469322006.17625"
"Total domains renewed within 30 Days","2415","1469322006.17625"
"Total domains","59933","1469329206.8063"
"Total domains registered within 24 hours","43","1469329206.8063"
"Total domains registered within 30 Days","2370","1469329206.8063"
"Total domains renewed within 24 Hours","29","1469329206.8063"
"Total domains renewed within 30 Days","2415","1469329206.8063"
"Total domains","59933","1469336406.61981"
"Total domains registered within 24 hours","42","1469336406.61981"
"Total domains registered within 30 Days","2366","1469336406.61981"
"Total domains renewed within 24 Hours","29","1469336406.61981"
"Total domains renewed within 30 Days","2414","1469336406.61981"
"Total domains","59933","1469343606.14621"
"Total domains registered within 24 hours","36","1469343606.14621"
"Total domains registered within 30 Days","2351","1469343606.14621"
"Total domains renewed within 24 Hours","29","1469343606.14621"
"Total domains renewed within 30 Days","2402","1469343606.14621"
"Total domains","59935","1469350806.10337"
"Total domains registered within 24 hours","28","1469350806.10337"
"Total domains registered within 30 Days","2336","1469350806.10337"
"Total domains renewed within 24 Hours","24","1469350806.10337"
"Total domains renewed within 30 Days","2385","1469350806.10337"
"Total domains","59939","1469358006.39177"
"Total domains registered within 24 hours","25","1469358006.39177"
"Total domains registered within 30 Days","2329","1469358006.39177"
"Total domains renewed within 24 Hours","21","1469358006.39177"
"Total domains renewed within 30 Days","2378","1469358006.39177"
"Total domains","59940","1469365206.70722"
"Total domains registered within 24 hours","20","1469365206.70722"
"Total domains registered within 30 Days","2307","1469365206.70722"
"Total domains renewed within 24 Hours","18","1469365206.70722"
"Total domains renewed within 30 Days","2369","1469365206.70722"
"Total domains","59945","1469372406.39634"
"Total domains registered within 24 hours","19","1469372406.39634"
"Total domains registered within 30 Days","2296","1469372406.39634"
"Total domains renewed within 24 Hours","15","1469372406.39634"
"Total domains renewed within 30 Days","2367","1469372406.39634"
"Total domains","59951","1469379606.7332"
"Total domains registered within 24 hours","23","1469379606.7332"
"Total domains registered within 30 Days","2292","1469379606.7332"
"Total domains renewed within 24 Hours","14","1469379606.7332"
"Total domains renewed within 30 Days","2363","1469379606.7332"
"Total domains","59952","1469386806.00749"
"Total domains registered within 24 hours","21","1469386806.00749"
"Total domains registered within 30 Days","2291","1469386806.00749"
"Total domains renewed within 24 Hours","12","1469386806.00749"
"Total domains renewed within 30 Days","2360","1469386806.00749"
"Total domains","59953","1469394006.48839"
"Total domains registered within 24 hours","22","1469394006.48839"
"Total domains registered within 30 Days","2289","1469394006.48839"
"Total domains renewed within 24 Hours","12","1469394006.48839"
"Total domains renewed within 30 Days","2360","1469394006.48839"
"Total domains","59955","1469401206.71872"
"Total domains registered within 24 hours","23","1469401206.71872"
"Total domains registered within 30 Days","2289","1469401206.71872"
"Total domains renewed within 24 Hours","13","1469401206.71872"
"Total domains renewed within 30 Days","2362","1469401206.71872"
"Total domains","59955","1469408406.70836"
"Total domains registered within 24 hours","23","1469408406.70836"
"Total domains registered within 30 Days","2286","1469408406.70836"
"Total domains renewed within 24 Hours","13","1469408406.70836"
"Total domains renewed within 30 Days","2362","1469408406.70836"
